,질문,소견
11,제가 허리디스크 시술2번이나 했는데요 요즘에 허리가 아프면서 골반부터 발뒷꿈치까지 따끔거리면서 아파요 골반이아파서 옆으로 못누워자구 엎드려서 자거든요 척추뼈가 약간휘어져있구 척추측만증이라고 합니다,"허리디스크 수술을 두 번 받으신 후에도 허리와 골반 통증이 지속되고 있으며, 척추가 휘어져 있고 척추측만증이 있다고 하셨군요. 이는 통증과 자세 문제에 영향을 줄 수 있습니다. 척추측만증은 척추가 옆으로 휘어지는 상태를 말하며, 이로 인해 척추 주변의 근육과 인대에 불균형이 생겨 통증이 발생할 수 있습니다.

통증이 발뒷꿈치까지 느껴진다면, 신경이 눌리거나 자극을 받고 있을 가능성이 있습니다. 이는 종종 좌골신경통과 관련이 있을 수 있습니다.

옆으로 누워 자지 못하고 엎드려 자는 것은 장기적으로는 다른 부위에 부담을 줄 수 있으므로 바람직하지 않습니다. 이러한 증상을 개선하기 위해서는 다음과 같은 조치를 고려해볼 수 있습니다:

1. 정형외과, 통증의학과 등에서 진료를 받아보시는 것이 좋을 것 같습니다. 추가적인 진단이 필요할 수 있으며, MRI나 CT와 같은 영상 검사를 통해 현재 상태를 정확히 파악할 수 있습니다.

2. 물리치료, 도수치료 등을 받아보시는 것도 증상에 도움이 될 수 있습니다. 척추와 주변 근육의 균형을 맞추고 통증을 완화하기 위한 물리치료가 도움이 될 수 있습니다.

3. 근육 강화를 위한 운동 등도 꾸준히 하시는 것이 좋습니다. 전문가의 지도 하에 근육을 강화하고 유연성을 높이는 운동을 할 수 있습니다.

4. 통증을 줄여줄 수 있는 약물 처방 받아서 복용하시는 것을 권장 드려요. 통증이 심하거나 일상생활에 지장을 주는 경우에는 반드시 전문의와 상담하여 적절한 치료를 받으시기 바랍니다.

5. 자세교정, 운동 등의 생활 습관 교정이 증상에 도움이 될 수 있습니다. 자세를 바르게 유지하고, 체중 관리, 올바른 수면 자세 등을 통해 척추에 가해지는 부담을 줄일 수 있습니다."
12,관계후 다음날 생리를 했는데 임신 가능성 있나요?,"성관계 후 다음 날 생리가 시작되었다면 임신 가능성은 매우 낮을 것으로 보여요. 생리는 자궁 점막의 탈락이기 때문에, 이는 임신이 일어나지 않았음을 의미합니다. 그러나 간혹 생리를 했는데도 임신을 했다는 경우는, 생리가 아닌 생리 외 출혈인 부정출혈 등을 생리로 오인한 경우로 볼 수 있어요. 따라서 출혈이 평소의 생리 패턴과 다르거나 의심스러운 점이 있다면, 관계일로부터 14일 후에는 임신테스트기를 한 번 사용해 보시는 것을 권유드려요. 또한, 생리 주기와 관계없이 성관계 시 피임을 하는 것이 임신을 예방하는 가장 확실한 방법입니다."
13,"생리 끝나고 3일차인 3월24일 오후 7시에 질내사정을 했는데 3월 27일에 배란일이 시작되었습니다 
임신가능성이 클까요...? 오늘인 3월29일까지 사후피임약은 복용하지 않았습니다","생리가 끝난 후 3일차에 질내사정이 있었고, 그로부터 3일 후에 배란일이 시작되었다면 임신 가능성이 있습니다. 정자는 여성의 몸 안에서 최대 5일까지 생존할 수 있기 때문에, 배란일에 가까운 시기에 성관계가 있었다면 임신이 될 수 있습니다.

사후피임약은 무방비 성관계 후 가능한 빨리 복용하는 것이 효과적입니다. 일반적으로 성관계 후 72시간(3일) 이내에 복용하면 임신을 예방하는 데 도움이 되지만, 일부 사후피임약은 120시간(5일) 이내에도 복용할 수 있습니다. 그러나 시간이 지날수록 효과는 감소합니다.

현재 3월 29일이고, 마지막 성관계가 3월 24일에 있었다면, 72시간 이내의 기간은 이미 지났지만, 120시간 이내라면 아직 사후피임약을 복용할 수 있는 시간이 남아있을 수 있습니다. 가능한 빨리 산부인과를 방문하여 전문의와 상담하고, 필요하다면 처방을 받아 사후피임약을 복용하는 것이 좋습니다. 그러나 어떠한 상황에서도 임신 가능성이 0% 라고 확신하기 어려우며, 이로 인한 불안감이 크시다면 가까운 산부인과 또는 앱 내 의사의 진료를 받아보시는 걸 권유드릴게요."
14,트리코모나스라는 질염은 자연스럽게 치유되는 방법은없을까요? 있다면 방법좀알려주세요. 깨끗이 씻고 말린다던지.. 치유기간은어느정도일지..아니면 약국에서 파는 일반약으로는 치료가안될까요?,"트리코모나스 질염은 트리코모나스 바지날리스라는 원충류에 감염되어 발생하는 성병으로, 자연스럽게 치유되는 것이 아니라 적절한 치료가 필요합니다. 일반적으로 항원충제를 사용하여 치료하며, 치료 기간은 보통 일주일이라고 해요. 

질염이 있다면 깨끗이 씻고 말리는 것은 기본적인 위생 관리에 도움이 되지만, 트리코모나스 질염을 완전히 치료하기에는 부족합니다. 약국에서 판매하는 일반약으로는 트리코모나스 질염을 치료할 수 없으며, 반드시 의사의 처방을 받아 적절한 항생제를 사용해야 합니다.

트리코모나스 질염이 의심되는 경우, 산부인과를 방문하여 정확한 진단과 치료를 받는 것이 중요합니다. 또한, 성 파트너도 함께 검사와 치료를 받는 것이 재감염을 방지하는 데 도움이 됩니다. 트리코모나스 원충은 열이나 약제에는 약한 편이지만, 공중목욕탕이나 양변기에서 옮기도 하기 때문에 주의해야 하며 환자의 속옷은 별도로 세탁하여 가족에게 감염시키는 것을 피해야 해요. 또한, 수영복 같은 젖은 옷이나 청바지와 같이 몸에 꽉 끼는 옷을 입지 말아야 하며, 되도록 욕조에서 목욕하는 것을 피하고, 샤워를 하는 것이 좋아요. 치료가 끝나고 증상이 사라질 때까지 성관계는 피하는 것이 좋아요."
15,"25개월아기입니다
콧물증상으로약을먹은지이주넘는데
잘때코막힘 일어나서 노란코를하고 평소에는
콧물흘림이많지는않아요
약을꾸준하게먹었는데 오늘갑자기
눈꼽이끼기시작했어요","25개월 아기가 콧물 증상으로 약을 복용 중인데 노란 코와 눈꼽이 생겼다면, 이는 감기 증상이나 아데노바이러스의 가능성이 있을 수 있어요. 특히 노란 콧물이나 눈꼽은 세균 감염을 의심할 수 있는 증상입니다. 이미 약을 2주 넘게 복용했음에도 증상이 개선되지 않고 오히려 새로운 증상이 나타났다면, 다음과 같은 대처 방법을 추천합니다.

1. 소아과 전문의와 상담: 아기의 증상을 정확히 평가받고 적절한 치료를 받기 위해 소아과 전문의와 상담하는 것이 중요합니다. 의사는 필요한 경우 추가적인 검사를 진행하고, 적절한 치료 방법을 제안할 것입니다.

2. 코와 눈 청결 유지: 아기의 코와 눈 주변을 깨끗하게 유지하는 것이 중요합니다. 눈꼽은 부드러운 천이나 면봉을 사용하여 따뜻한 물로 적신 후 조심스럽게 닦아내야 합니다. 코는 식염수 코세척을 통해 코를 깨끗이 유지할 수 있습니다.

3. 충분한 수분 섭취: 아기가 충분한 수분을 섭취하도록 해서 콧물이나 가래가 더 잘 배출될 수 있도록 도와주세요.

4. 적절한 습도 유지: 실내 습도를 적절하게 유지하여 아기의 호흡기 점막이 건조해지지 않도록 하는 것이 좋습니다.

5. 휴식: 아기가 충분한 휴식을 취할 수 있도록 해주세요. 면역력이 회복되는 데 도움이 됩니다.

의사의 진료를 받는 것이 가장 중요하므로 가능한 빨리 소아과를 방문하여 상담을 받으시길 권장합니다. 응급의료포털 https://www.e-gen.or.kr/egen/main.do 에서 진료 가능한 병원을 현재 위치 주변으로 찾으실 수 있어요."
16,선생님 얼굴에 땀이 넘 마니나요 땀이날때는 머리가 뜨거워지는거 같아요 목뒤랑.손목위로도 나구요 하루에 손수건을 3.4개정도 가지고 다녀요 15년전에 다한증 이라고 원주기독병원에 땀샘수술 하라고 했는데요아이가 어려서 못갔어요 지금까지 넝  힘들고 여름이 싫어요..,"땀이 과도하게 많이 나는 상황이라면 다한증을 의심해볼 수 있어요. 땀샘수술은 다한증의 한 치료 방법이지만, 수술은 항상 신중하게 결정해야 합니다. 수술 전에 다른 비수술적 치료 방법들을 먼저 고려해보는 것이 좋습니다.

1. 항콜린제 약물 치료: 땀 분비를 억제하는 약물을 복용하는 방법입니다.
2. 보톡스 주사: 특정 부위의 땀샘에 주사하여 땀 분비를 일시적으로 차단하는 방법입니다.
3. 이온영동 치료: 전기를 이용하여 땀 분비를 줄이는 치료입니다.
4. 국소적인 땀 차단제: 땀이 많이 나는 부위에 바르는 크림이나 스프레이 등을 사용하는 방법입니다.

이러한 비수술적 치료 방법들로도 증상이 개선되지 않거나 일상생활에 큰 지장을 주는 경우에는 땀샘수술을 고려할 수 있습니다. 수술은 흉부교감신경절제술이라고 하며, 땀을 분비하는 신경을 차단하는 방법입니다. 하지만 수술에는 합병증이나 부작용의 가능성도 있으므로, 수술을 결정하기 전에 전문의와 충분한 상담을 통해 자신의 상태와 수술에 대한 정보를 충분히 이해하는 것이 중요합니다.

15년 전에 수술을 권유받았지만, 시간이 지난 만큼 최신의 치료 방법이나 수술 기술의 발전도 고려해야 합니다. 현재의 건강 상태와 생활 환경, 다한증의 정도 등을 종합적으로 고려하여 전문의와 상담을 통해 최선의 치료 방법을 결정하시길 권장드립니다. 일상생활에 영향이 심할 정도로 계절 상관 없이 땀이 많다면 가까운 피부과로 내원하셔서 진료를 받아보실 것을 권장드려요."
17,"4개월아기
발길질이나 발움직임이 거의없을경우
하반신에 문제가 있을 수 있나요","네, 4개월 된 아기가 발길질이나 발 움직임이 거의 없다면 하반신의 발달이나 신경계에 문제가 있을 수 있습니다. 이 시기의 아기들은 일반적으로 발로 주변 환경을 탐색하고, 발길질을 하며 운동 능력을 발달시키기 시작합니다. 발길질이나 발 움직임이 부족하다면, 근육의 약화, 신경계 문제, 발달 지연 등 다양한 원인이 있을 수 있습니다.

이러한 증상이 관찰되면 소아과 의사나 소아 신경과 전문의와 상담하여 정확한 평가를 받는 것이 중요합니다. 의사는 신체 검사, 발달 평가, 필요한 경우 영상 진단 검사 등을 통해 아기의 상태를 평가하고 적절한 조치를 취할 수 있습니다.

아기의 발달 상태를 정확히 파악하고 적절한 조치를 취하기 위해서는 전문가의 진단이 필요하므로, 가능한 빨리 소아과 의사와 상담하는 것이 좋습니다. 아기의 발 움직임이나 발길질에 이상이 있다면, 아기의 영상을 찍어두시고, 내원 후 검진 받을 때 영상을 보여드리면 되겠어요."
18,"37개월 아이이고 이틀전 어린이집에서 오른쪽 눈밑에 눈다래끼가 올라오는것 같다고하여 동네 소아과에서 진료보고 안연고와 콧물이 좀 차는것 같다고 알레르기비염약까지 처방 받아왔습니다. 오늘은 하원시 선생님께서 낮잠자고 일어나기 전까진 열이 없었는데 자고 일어나 보니 38.2도(4시경)까지 체온이 올라갔고 컨디션은 쳐짐없이 좋은것 같다고 말씀해주셨습니다. 제가 보기에도 열감이 조금 있는것 외에는 컨디션도 좋고 다른 증상도 없는것 같아 집에서 열 체크 후(5시경 38.0) 지켜보기로 했습니다. 7시 30분에 38.7도로 올랐고 방금 쟀더니 39도로 올랐습니다. 타증상은 여전히 없지만 컨디션은 조금 떨어진 듯 합니다. 방금 빨간챔프 해열제 먹였습니다. 근처에 야간진료하는 소아과가 없어 문의드렸습니다. 내일이라도 소아과를 다녀와야할까요? 
이러한 증상이 나타나는 이유로 의심되는 상황을 적어보자면 지난주 토요일 바람이 많이 불었는데 신랑이 아이를 데리고 근처 초등학교에서 모래놀이를 하고 왔습니다","눈가려움과 콧물, 그리고 체온이 39도까지 상승한 상황이라면, 아이의 상태를 면밀히 지켜보고 필요하다면 의료진의 도움을 받는 것이 좋습니다. 이미 안연고와 알레르기비염약을 처방받았지만, 열이 지속적으로 상승하고 있고, 컨디션이 조금 떨어진 것으로 보아 추가적인 진료가 필요할 수 있습니다.

아이가 모래놀이를 한 후 증상이 나타났다면, 외부 환경으로 인한 알레르기 반응이나 감염의 가능성도 배제할 수 없습니다. 특히, 눈가려움은 세균이나 바이러스 감염으로 인해 발생할 수 있으며, 적절한 치료가 필요할 수 있습니다.

열이 38도 이상으로 지속되고, 아이의 컨디션이 떨어지는 경우에는 탈수나 다른 합병증을 예방하기 위해 의사의 진료를 받는 것이 중요합니다. 야간진료가 가능한 병원이 없다면, 다음날 아침 가장 빠른 시간에 소아과를 방문하시는 것을 권장합니다. 만약 아이의 상태가 급격히 악화되거나 다른 우려되는 증상이 나타난다면, 가까운 응급실을 방문하시는 것이 안전합니다.

아이의 상태를 지속적으로 지켜보시면서, 충분한 수분 섭취를 유지하고, 해열제를 적절히 사용하시기 바랍니다. 또한, 아이가 편안하게 쉴 수 있도록 환경을 조성해 주세요. 내일 소아과 방문을 통해 정확한 진단과 적절한 치료를 받으시길 바랍니다."
19,스트랩실 타이레놀 탁센 동시에 복용해도 괜찮나요?,"스트랩실과 타이레놀은 서로 다른 성분을 가지고 있어 일반적으로는 함께 복용하는 것이 가능합니다. 하지만, 탁센 역시 아세트아미노펜을 포함하고 있는 해열진통제이므로 타이레놀과 중복 복용이 되지 않도록 주의해야 합니다. 아세트아미노펜은 과량 복용 시 간 손상을 일으킬 수 있으므로 하루 권장 복용량을 초과하지 않도록 주의해야 합니다. 성인의 경우, 아세트아미노펜의 일일 최대 권장 복용량은 4000mg입니다. 따라서 타이레놀과 탁센 중 하나만 선택하여 복용하시고, 스트랩실은 함께 복용해도 괜찮습니다.

그러나 개인의 건강 상태나 다른 복용 중인 약물에 따라 상황이 달라질 수 있으므로, 약물 복용 전에 의사나 약사와 상담하는 것이 가장 안전합니다. 말씀하신 의약품들을 함께 복용하지 말라는 내용이나 다른 상호작용에 대해서는 명시되어 있지 않아요. 다만 진통제를 복용할 때는 한가지씩 복용 후 증상이 나아지지않는다면 추가적인 다른 진통재제로 바꿔보실 것을 권유드려요. 자세한 복약 상담은 처방한 의사 를 통해 충분한 상담 받아보실 것을 권장드려요."
20,오른쪽 발등쪽 가운데에 혹같이 뭐가 볼록나왔는데 누르면 아프고 딱딱해욤..가만히 있어도 가끔 통증이 있고 움직이면 더 아파욤..왜이러나요?,"발등에 볼록하게 나타나는 혹과 통증은 여러 가지 원인에 의해 발생할 수 있어요. 가장 흔한 원인 중 하나는 결절종이라고 불리는 양성 종양일 수 있어요. 이는 관절이나 힘줄 주변에 생기는 젤리 같은 물질이 차 있는 낭종으로, 누르면 아프고 딱딱하게 느껴질 수 있어요. 그러나 뼈의 돌출, 관절염, 힘줄의 문제, 류마티스 질환, 감염 등 다른 원인도 있을 수 있으므로 정확한 진단을 위해서는 의사의 진찰이 필요해요.

통증이 지속되거나 혹의 크기가 커지는 경우, 또는 움직임에 제한이 생기는 경우에는 의사의 진찰을 받아보시는 것이 좋아요. 의사는 신체 검사와 함께 필요에 따라 X-레이, 초음파, MRI 등의 영상 진단을 통해 정확한 원인을 파악하고 적절한 치료를 제안할 수 있어요.

가정에서 할 수 있는 일시적인 조치로는 통증이 있는 부위를 높이고, 얼음 찜질을 해서 부기를 줄이는 것이 도움이 될 수 있어요. 하지만 이러한 조치는 증상 완화에만 도움을 줄 뿐, 근본적인 원인 치료는 아니므로 전문가의 진료를 받으시는 것을 권장해요. 특히 발등에 통증이 오래 지속되는 경우에는 정형외과 전문병원에 내원하셔야 발상태 확인이 가능한 것으로 보여져요."
